"Frame","ROI0","ROI1","ROI2","ROI3","ROI4","ROI5","ROI6","ROI7","ROI8","ROI9","ROI10","ROI11","ROI12","ROI13","ROI14","ROI15","ROI16","ROI17","ROI18","ROI19","ROI20","ROI21","ROI22","ROI23","ROI24","ROI25","ROI26","ROI27","ROI28","ROI29"
1,27.792,44.013,58.286,70.777,62.05,71.398,44.507,52.537,55.318,57.702,49.741,50.152,53.841,42.227,55.43,29.885,68.854,50,65.295,97.238,43.514,57.5,75.976,72.125,92.569,29.862,48.672,52.611,36.824,39.045
2,36.833,45.646,50.143,70.196,66.6,82.114,46.772,46.487,53.795,53.75,59.463,60.163,49.58,41.045,65.646,30.573,62.083,59.917,66.893,100.095,43.958,57.667,72.54,63.797,85.793,39.388,48.103,61.333,36.894,37.875
3,40.861,47.342,50.429,66.429,61.625,85.091,46.853,47.162,60.545,48.929,51.352,54.978,53.797,37.795,60.494,29.552,69.104,54.729,61.213,96.738,41.417,62.236,77.302,63.281,91.966,37.888,61.034,54.389,37.271,66.795
4,34.278,47.975,57.738,67.607,53.025,70.318,44.338,47.925,49.477,47.595,52.5,53.576,47.623,39.784,57.861,29.24,72.062,54.771,62.746,97.44,49.514,58.222,69.881,68,105.81,38.05,47.397,50.556,36.541,67.398
5,38.764,47.114,54.571,67.786,53.45,71.807,46.618,49.6,63.659,50,46.333,57.065,48.304,45.932,55.025,27.073,68,54.208,64.082,98.881,50.556,66.25,66.254,66.594,92.397,35.7,50.121,57.306,33.235,65.875
6,27.986,43.848,39.619,66.866,57.388,73.693,50.625,46.625,57.795,53.095,51.111,54.946,52.333,75.227,60.924,29.76,87.292,97.979,65.893,103.333,45.861,68.889,70.778,65.875,91.103,38.45,45.948,70.861,36.318,52.261
7,57.708,56.684,45.19,70.777,54.688,73.455,47.574,45.1,58.341,48.905,49.315,51.391,47.42,64.966,58.797,31.01,81.812,90.896,66.361,94.44,42.667,60.347,73.556,58.094,93.138,35.9,47.345,63.583,30.553,53.114
8,68.889,62.481,42.524,66.393,47.713,77.295,47.265,48.487,59.591,50.786,50.444,52.761,48.797,71.295,58.861,29.625,74.375,79.542,80.631,93.631,48.903,68.319,68.063,55.312,90.672,34.787,47.517,66.083,37.024,51.761
9,64.472,60.101,43.238,66.161,47.162,74.5,44.478,44.025,57.909,55.738,51.593,59.587,48.435,61.534,56.772,29.604,77.479,77.312,67.139,96.25,48.542,62.472,66.802,56.891,94.448,32.612,64.69,63,39.329,46.591
10,55.486,51.57,52.19,70.946,50.75,77.625,47.897,42.588,64.682,54.036,52.87,56.554,54.522,43.364,57.443,28.156,79.562,75.521,65.139,95.512,42.861,59.639,66.31,55.219,83.879,35.463,54.293,63.583,35.035,46.159
11,42.639,57.013,51.881,67.643,46.325,72.318,43.294,50.138,50.932,56.81,56.759,53.174,51.913,46.477,61.949,29.062,79.792,59.229,64.73,94.881,52.361,57.861,69.23,56.016,86.81,36.112,52.793,59.667,36.494,43.614
12,47.389,61.38,57.238,58.339,49.188,74.034,41.338,49.3,56.045,48.667,47.148,54.348,55.652,46.443,64.861,29.24,82.083,53.938,69.082,101.25,49.681,56.014,68.397,56.328,88.103,34.625,65.414,54.5,38.012,41.705
13,45.736,45.81,70.048,65.857,41.75,73.864,45.235,54.638,52.25,48.071,54.315,50,61.406,42.091,57.342,32.135,65.604,52.833,68.598,98.5,46.042,52.431,66.27,57.328,88.586,32.912,58.897,55.694,38.2,42.943
14,39.472,54.051,64.548,69.598,41.525,78.761,45.985,41.575,60.477,54.179,48.5,59.63,55.609,42.955,60.722,30.229,75.229,74.25,60.975,109.548,40.972,59.042,66.937,66.031,90.483,28.9,53.103,59.917,38.4,45.909
15,42.306,43.582,61.286,65.429,42.338,69.159,41.125,41.225,63.273,53.202,49.815,53.707,69.797,39.034,60.722,31.5,74.729,56.833,63.443,98.262,47.653,52.139,75.865,63.172,84.862,37.487,56,60.667,39.918,41.545
16,39.639,45.025,62.381,64.5,39.75,73.011,44.426,51.412,59.659,48.357,58.685,55.207,69.812,38.489,61.975,29.406,64.104,56.646,68.238,89.571,49.472,60.694,66.389,57.844,85.655,38.25,56.207,58.389,36.882,45.034
17,35.194,42.608,53.786,64.223,60.275,76.773,45.162,46.1,57.341,52.048,52.481,51.315,76.957,38.261,55.557,29.948,74.479,55.188,62.852,104.071,54.722,64.319,71.127,60.219,93.328,31.763,49.983,71.889,37.576,42.477
18,34.639,50.051,56.31,66.411,63.213,76.33,44.838,44.638,57.318,51.048,49.315,56.924,66.899,39.557,61.595,31.938,71.479,50.562,65.68,97.726,46.514,58.278,69.944,61.359,84.052,35.138,49.121,49.667,42.471,43.58
19,33.958,42.886,49.143,69.527,60.725,74.875,44.426,45.3,56.386,52.44,47.963,68.696,74.667,38.523,61.861,29.781,83.562,101.458,65.869,99.298,48.139,56.736,94.73,61.094,91.483,41.2,52.224,56.056,33.4,45.716
20,39.153,47.354,55.905,59.438,68.075,71.511,42.61,46.513,53.023,46.655,51.648,73.674,70.739,39.511,67.076,31.135,88.958,90.708,67.869,95.94,57.333,57.847,99.333,56.625,86.328,37.812,49.172,54.333,38.565,45.034
21,38.361,41.696,45.167,71.982,67.287,74.83,43.846,47.25,54.341,54.667,53.852,70.065,71.478,34.943,59.114,25.677,88.542,88.375,60.066,97.5,55.069,51.931,105.873,65.406,86.5,40.025,52.603,64.028,40.365,49.693
22,36.667,42.519,47.19,66.446,51.275,71.716,40.36,42.825,53.136,47.702,43.111,66.761,65.159,33.932,61.468,32.833,87.604,74.438,63.615,88.786,47.264,58.528,111.444,62.016,92.379,36.963,49.172,59.389,37.694,61.761
23,30.889,42.101,42.643,65.938,56.725,73.364,42.89,46.787,50.386,44.655,49.537,70.152,65.855,37.511,62.152,29,81.042,73.312,65.082,96.821,45.097,59.111,111.119,80.609,86.034,31.062,46.724,60.833,40.282,74.625
24,39.069,41.506,50.31,67.42,53.812,73.455,44.022,44.8,53.841,47.25,53.574,56.065,65.594,36.432,57.595,28.635,70.646,67.771,58.213,96.298,43.444,65.236,106.992,61.297,81.207,39.287,41.948,53.139,35.318,73.648
25,35.944,51.709,53.929,69.679,57.875,69.386,45.404,44.037,52.886,46.857,52.13,53.804,69.174,39.205,56.633,32.865,63.708,56.438,65.836,91.857,44.819,57.556,101.794,66.219,79.948,35.15,47.655,51.917,43.553,72.932
26,34.833,46.557,45.119,68.357,54.55,74.898,46.493,49.562,64.114,47.476,63.741,52.217,55.942,36.409,60.633,28.823,70.479,61.333,67.926,91.262,50.75,50.611,84.397,61.984,85.172,32.875,54.845,59.722,38.435,64.102
27,30.819,53.658,44.929,64.964,50.975,71.489,48.191,45,61.727,55.75,57.537,51.946,58.812,46.784,58.848,31.188,64.646,68.042,58.721,95.095,49.944,63.028,77.381,65.875,83.19,33.588,60.362,61.444,36.447,56.398
28,36.347,55.835,54.167,68.268,49.8,74.909,47.118,42.4,55.523,48.917,57.037,54.902,52.101,43.693,61.873,31.729,66.604,61.479,67.975,90.238,46.889,57.5,79.103,72.953,79.776,35.775,57.5,60.556,35.294,52.261
29,31.986,47.734,43.667,61.946,51.513,76.17,48.397,46.987,60.364,51.417,53.519,49.967,52.058,38.807,53.772,23.552,66.833,52.792,64.262,99.798,52.139,59.597,75.119,66.969,81.328,27.625,54.017,57.944,35.624,45
30,36.208,47.772,59.69,63.786,44.7,80.261,45.059,50.987,54.614,54.393,45.685,55.467,43.623,38.193,54.987,25.208,66.146,54.854,62.943,90.393,45.722,58.875,80.516,66.594,80.466,37.412,51.914,62.333,39.424,42.102
31,39.847,41.646,78.69,59.911,41.037,80.648,44.493,43.35,59.25,52.857,47.981,53.13,53.072,40.216,52.19,31.188,71.833,52.375,59.795,96.298,44.028,60.097,70.563,65.406,90.155,34.188,55.259,67.944,37.788,65.205
32,33.528,45.924,64.571,62.955,52.925,79.932,48.051,42.275,60.318,50.607,52.981,49.913,49.855,41.841,64.051,26.021,62.521,52.667,57.893,99.381,48.819,62.278,69.341,60.5,82.328,30.9,61.414,65.889,39.212,71.943
33,37.597,46.278,75.31,63.679,69.562,72.398,48.662,45.862,48.636,47.381,51.556,53.413,50.507,40.545,53.734,28.417,70.604,58.917,65.918,98.845,47.583,54.528,74.754,55.25,85.603,35.162,59.655,52.806,36.871,73.602
34,33.139,46.165,54.81,67.759,62.45,70.273,47.551,52.162,55.886,50.833,48.5,55.859,47.812,39.102,54.329,25.156,76.667,54.729,61.951,90.548,46.222,56.792,70.119,61.719,78.897,36.362,60.31,58.667,39.376,66.511
35,33.333,58.139,56.738,61.411,64.975,74.182,43.39,45.162,63.318,55.024,49.407,54.207,48.768,36.943,56.734,25.26,63.646,51.271,66.156,96.726,51.958,57.972,73.698,63.125,85.241,33.525,52.345,50.972,34.4,56.114
36,59.264,52.177,56.667,67.75,75.562,79.011,51.044,43.525,54.727,46.643,52.648,58.38,49.072,40.318,60.177,25.552,59.812,52.812,65.049,91.298,48.694,55.264,73.238,66.297,87.897,35.513,51.517,57.056,37.259,56.159
37,65.486,58.481,52.452,56.848,71.75,70.852,47.118,45.438,57.318,47.869,64.037,62.011,46.841,33.057,59.304,31.24,62.708,45.854,66.557,96.988,46.694,61.25,71.722,69.609,82.741,34.138,50.534,51.889,40.741,51.739
38,54.681,49.43,50.476,60.804,71.125,75.489,48.037,43.875,53.818,53.179,54.722,63.326,44.754,34.92,59.911,32.708,67.062,52.896,60.885,96.536,44.528,54.875,64.881,87.75,87.586,29.788,48.931,50,37.165,45.307
39,49.319,51.468,48.833,64.884,62.362,70.273,45.706,44.475,50.614,50.619,50.167,60.087,69.754,48.455,59.291,31.802,79.979,71.646,59.697,91.357,47.583,58.819,72.952,77.672,89.707,35.325,45.534,51.389,39.718,45.023
