"Frame","ROI0","ROI1","ROI2","ROI3","ROI4","ROI5","ROI6","ROI7","ROI8","ROI9","ROI10","ROI11","ROI12","ROI13","ROI14","ROI15","ROI16","ROI17","ROI18","ROI19","ROI20","ROI21","ROI22","ROI23","ROI24","ROI25","ROI26","ROI27","ROI28","ROI29"
1,36.725,76.625,57.933,40.531,113.238,87.519,106.283,55.182,46.971,40.157,67.927,61.36,63.351,55.588,33.869,41.083,42.484,35.902,33.265,48.712,54.377,55.111,46.675,28.614,40.354,35.889,46.115,48.206,66.879,49.736
2,38.562,78.3,58.817,41.484,105.619,85.385,95.067,46.25,47.059,35.798,71.365,67.707,61.919,47.078,38.298,43.583,42.25,38.085,33.353,51.596,52.311,52.792,46.575,28,48.146,32.083,49.607,52.794,60.638,53.444
3,35.425,68.637,57.583,37.719,98.952,84.385,82.033,55.114,49.529,34.315,71.562,65,58.324,50.941,36.643,52.396,44.5,34.963,31.088,42.75,52.607,55.819,49.425,34.568,55.479,30.472,50.197,49.279,71.483,55.361
4,36.7,54.513,67.433,36.172,84.095,86.423,72.733,52.659,55.294,35.506,71.531,57.747,62.081,41.745,32.167,45.146,46.016,37.439,30.824,46.962,50.475,61.583,43.037,39.818,50.792,35.333,54.246,47.838,61.931,52.333
5,38.75,56.875,54.067,36.781,76.429,80.75,57.667,49.841,52.5,35.82,65.771,63.347,60.108,42.569,37.857,45.771,60.938,39.329,34.941,50.654,59.23,57.819,42.362,31.295,43.833,35.639,47.328,47.838,64.724,53.139
6,33.475,46.838,78.217,37.109,80,101.5,57.183,50.773,45.559,33.427,72.865,56.853,59.486,46.451,36.857,40.208,67.484,37.512,35.471,50.654,50.361,55.222,50.562,35.182,45.688,34.333,46.098,56.221,58.379,51.833
7,34.975,48.725,83.383,40.297,86.095,102.865,57.633,52.591,48.294,31.899,71.229,58.853,58.919,45.412,34.155,41.729,65.922,37.427,30.647,45.327,53.59,52.639,45.213,28.273,38.833,34.306,50.131,53.221,56.897,55.139
8,37.812,45.912,76.15,36.266,67.333,101.404,56.1,56.386,41.676,34.775,71.656,61.493,57.838,49.137,35.69,43.354,70.547,42.512,35.324,49.981,54.066,62.222,46.975,31.159,42.729,34.611,53.656,52.309,55.552,52.819
9,32.438,46.425,65.017,38.688,57.524,100.404,48.667,49.932,44.588,36.876,72.708,57.827,56.703,38.412,37.94,44.354,56.094,36.671,29.735,64,47.18,55.528,43.888,27.636,43.896,29,52.59,52.25,66.241,53.681
10,34.638,55.912,57.533,39.922,71.857,87.885,48.817,44.932,52.5,34.798,69.25,58.293,58.27,41.941,38.5,45.083,47.656,38.561,29.5,61.404,48.984,53.167,47.075,32.909,37.146,34.806,51.344,54.941,52.414,56.208
11,34.438,80,70.483,37.047,63.381,84.808,48.35,52.045,46.706,33.876,65.062,60.067,58.486,46.549,35.881,43.979,46.594,38.878,33.029,67.673,51.148,54.278,45.3,28.295,40.75,36.306,56.459,54.691,51.448,54.861
12,35.8,80.262,60.8,44.219,57.333,89.923,52.233,51.932,49.941,29.056,69.667,57.573,58.324,35.627,38.012,37.75,35.734,38.659,32.441,49.5,55.541,53.667,49.287,27.136,42.208,40.583,47.869,55.809,60.741,47.486
13,30.375,63.2,63.067,36.578,60.095,76.904,57.417,47.409,54.559,33.596,61.552,62.04,60.892,44.51,35.774,40.583,47.438,34.927,38.088,51.577,54.967,52.903,49.325,32.273,46.625,39.75,51.148,55.088,62.81,51.458
14,33.338,63.662,56.85,44.109,60.667,89.75,91.817,58.341,45.176,36.056,63.281,60.053,49.189,41.333,39.857,40.208,43.266,33.915,29.824,49.25,50.967,53.639,53.338,30.318,52.625,40.556,50.918,50.029,64.534,47.806
15,34.037,56.6,58.6,42.281,48.762,80.5,102.35,57.5,45.118,37.461,61.344,59.747,55.649,44.451,37.976,37.062,39.594,35.195,38.794,49.904,55.574,61.833,44.85,36.295,44.125,38.333,56.426,53.456,68.397,54.028
16,31.75,52.55,61.283,42.156,53.905,81.442,104.533,52.432,47.265,35.18,66.802,61.547,52.324,44.02,33.167,43.479,34.562,32.756,33.882,47.096,49.23,49.222,44.987,32.409,43.271,35.278,46.541,48.471,74.362,48.875
17,36.487,52.263,58.183,41.453,48.952,80.846,84.583,48.477,43.441,35.371,66.104,57.693,58.351,45.078,38.298,43.062,39.812,34.89,38.588,52.038,61.951,51.556,41.838,33.318,40.312,38.278,51.59,54.426,68.569,49.625
18,36.025,44.963,59.567,38.781,62.429,88.788,72.717,49.409,45.235,34.573,58.729,54.6,61.649,50.353,31.786,44.25,43.031,32.927,32.618,47.385,57.246,51.431,48.638,36.341,43.062,46.194,43.574,51.897,57.345,55.583
19,31.125,46.3,56.067,42.672,58.095,78.923,62.983,53.75,44.971,33.607,57.823,60.373,69.351,43.843,34.512,45.271,37.891,35.171,37.912,45.904,50.049,55.264,42.3,41.705,50.229,39.806,54.459,59.618,60.483,53.125
20,34.287,43.7,60.65,39.672,46.429,85.308,60.617,52.114,50.088,32.506,62.219,59.667,58.459,45.118,36.44,38.312,41.781,32.085,30.882,43.673,51.82,54.236,48.6,31.886,37,33.889,50.574,54.029,59.552,51.389
21,37.037,46.375,55.217,40.188,53.714,89,51.867,51.182,50.676,32.528,68.385,55.92,55.568,45.882,32.905,41.062,40.438,43.11,34.529,48.019,58.77,52.694,47.525,28.091,45,35,46.787,55.221,69.862,51.375
22,33.412,47.6,58.25,40.766,52.238,79.058,55.967,53.227,53.235,31.584,65.125,49.147,68.162,45.627,32.964,36.583,38.547,33.28,38.324,47.212,63.885,55.986,49.175,30.341,42.896,36.833,52.262,56.985,61.931,47.639
23,32.625,49.438,59.867,37.906,66.667,86.635,47.383,46.023,45.382,33.944,73.115,56.027,57.324,49.784,35.512,48.188,42.578,39.768,39.971,52.942,59.59,59.264,44.588,26.273,41.583,44.583,52.705,45.971,62.983,49.694
24,36.312,46.45,59.8,44.234,61.048,83.404,45.7,56.864,49.853,36.202,66.625,56.027,52.27,48.137,38.452,40.271,37,34.902,25.059,65.673,56.213,58.694,50.537,53.045,40.417,31.472,48.328,53.456,60.414,48.222
25,31.212,40.112,55.783,41.391,74.143,86.769,48.767,53.659,55.735,32.809,63.792,63.6,56.135,46.529,37.488,39.771,39.484,37.317,34.853,60.962,46.197,61.389,44.6,56.818,38.188,35.167,53.197,55.059,63.931,54.528
26,35.888,65.738,68.667,38.016,68,90.731,48.733,55.523,42.559,37.955,61.76,57.653,52.486,47.137,42.131,45.438,36.438,36.537,66.647,61.019,52.016,58.181,49.1,51.705,48.917,39,47.41,51.074,60.052,51.458
27,37.7,77.312,57.317,37.031,49.333,83.096,41.25,40.909,53.824,35.989,59.771,53.24,53.541,40.333,65,38.917,44.078,31.183,90.647,45.404,53.443,55.236,42.688,49.136,73.042,34.75,52.475,49.294,57.31,56.875
28,32.2,80.2,60.7,43.016,55.19,84.038,38.967,47.727,53.765,35.034,57.125,65.227,56.405,46.745,71.762,46.417,41.719,29.878,65.647,48.442,55.525,55.806,48.65,37.409,60.542,46.806,50.443,50.279,60.276,53.375
29,32.625,69.088,58.833,41.078,64.476,79.673,44.817,52.386,50.941,30.427,64.323,59.773,55.297,44.882,54.857,44.292,38.109,37.963,52.647,50.981,51.033,51.778,49.088,36.864,56.708,37.917,55.033,51.309,66.224,52.847
30,35.075,64.375,56.267,36.766,55.81,76.269,41.417,51.636,50.853,38.225,62.771,58.533,54.676,41.725,50.917,43.917,40.422,39.122,56.176,47.173,47.656,55.847,50.15,33.159,45.792,42.361,48.459,44.353,70,55.056
31,30.2,51.875,66.5,39.031,75.19,77.404,42.217,42.977,51.324,42.472,67.604,53.8,52.892,46.51,41.571,47.188,42.062,36.756,44.765,51.115,56.377,58.111,43.338,36.523,43.729,48.806,58,48.044,65.586,56.736
32,32.7,48.588,58.583,41.109,66,85.442,42.683,51.023,54.206,36.831,68.385,53.56,53.486,45.451,45.095,40.854,38.609,38.085,43.441,44.923,51.295,51.944,43.862,37.818,47.375,45.222,58.377,47.5,75.362,54.292
33,53.05,48.825,57.967,39.031,65.476,81.981,40.05,46.045,51.176,36.135,65.562,59.853,55.135,40.059,40.69,44.146,40.75,35.427,34.324,44.981,54.344,55.097,46.912,31.727,40.375,34.056,48.443,49.647,62.086,53.181
34,77.238,44.175,60.35,43,80.762,84.404,46.6,48.477,52.971,40.213,67.76,57,47.189,44.157,43.131,53.75,37.766,34.915,31.824,43.788,51.541,55.542,41.963,35.523,39.896,39.722,50.508,50.515,64.724,55.514
35,79.25,42.062,62.633,40.5,95.048,77.25,45.183,49.977,40.647,39.337,68.354,55.507,57.784,41.765,38.298,46.625,32.688,35.683,30.029,48.635,51.082,60.5,46.713,33.159,47.292,41.556,47.033,50.059,59.086,50.028
36,71.713,47.025,62.217,45.781,95.429,78.75,48.817,54.818,47.294,33.506,60.823,58.667,53.568,52.412,40.714,43.438,32.625,39.317,35.471,46,58.443,54.569,45.888,28.955,39.917,52.556,42.721,52.162,60.845,53.667
37,55.513,62.963,59.167,39.156,104.095,83.385,42.833,52.341,42.235,34.876,64.167,61.96,72.784,46.961,38.75,56.896,41.719,35.732,33.206,48.385,51.311,57.736,40.95,33.773,38.604,48.472,54.262,52.368,60.534,54.167
38,55.975,75.613,58.717,41.188,97.524,79.769,47.683,48.227,51.559,35.843,57.802,56.12,58.514,41.294,39.464,48.25,37.625,37.707,34.118,56.558,63.148,53.611,46.25,35.091,39.896,45.528,48.984,54.559,58.759,55.264
39,45.075,73.213,57.817,36.75,89.762,74.135,40.383,52.977,75.912,31.191,67.906,53.76,58.432,42.196,38.476,50.479,40.219,39.11,32.029,63,59.459,57.083,47.513,33.5,49.188,54.028,48.475,52,62.103,51.111
40,41.275,66.762,66.233,39,91.952,83.865,43.967,55.409,61.676,36.124,67.458,56.693,60.811,47.902,40.06,48.896,38.234,38.524,32.412,52.962,59.295,55.542,44.7,34.045,59.729,47.972,48.066,48.897,53.707,55.625
41,40.05,57.037,56.133,42.938,96.286,73.558,39.333,48.409,71.441,34.955,61.302,63.587,59.486,37.961,38.869,47.979,37.672,36.671,27.471,51.558,64.787,55.028,45.737,31.045,50.688,40.167,48.836,48.147,57.224,50.75
42,38.188,52.312,56,36.391,111.476,79.673,41.367,46.909,62.265,34.112,63.115,61.013,52.081,51.784,32.952,39.688,42.219,34.976,34.265,52.769,62.082,59.444,43.588,29.114,45.021,37.75,51.279,50.971,59.862,55.931
43,35.175,48.9,63.317,38.797,107.857,77.827,39.783,50.659,52.882,33.494,65.479,56.827,58.703,43.255,37.738,41.125,37.984,37.671,37.147,54.346,56.77,59.403,48.112,28.659,42.104,41.278,49.525,50.559,53.621,57.875
44,33.438,46.125,61.383,38.531,127.476,92.154,37.683,54.659,67.324,34.91,54.375,64,58.784,46.471,37.369,44.396,37.516,37.378,46.765,63.327,59.393,54.444,39.05,33.205,39.979,41.667,41.918,50.397,56.466,46.042
45,37.838,45.987,92.617,42.172,127.524,98.096,45.867,56.273,66.824,33.73,58.812,53.427,59.838,42.216,36.512,48.042,40.188,34.439,75.706,59.885,58.689,57.014,40.138,29.818,39.812,48.306,55.082,49.029,62.707,50.833
46,39.475,48.025,90.583,42.234,115.524,98.365,47.783,55.091,59.882,31.989,53.771,48.92,57.568,49.392,33.583,44.438,44.641,38.878,77.765,54.5,53.803,54.222,44.912,32.705,44.146,42.778,51.689,48.176,65.707,55.028
47,32.975,41.75,78.367,35.219,151.048,111.519,40.267,51.023,52.794,32.64,64.125,60.307,57.595,43.725,37.214,48.5,38.75,42.098,63.588,56.577,55.82,54.361,43.8,35.773,35.521,42.778,55.23,53.265,58.621,49.708
48,36.075,38.725,85.3,40.844,123.905,108.346,47.45,57.477,53.382,35.64,74.75,54.213,56.054,45.078,33.417,42.688,47.656,39.122,66.118,56.308,54.836,59.264,42.362,31.591,36.708,42.472,45.23,49.059,57.397,50.917
